,Unnamed: 0,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets,won
0,0,MI,RCB,1,1.1,Michael Hussey,Aditya Tare,Mitchell Starc,,,,,1,1,,False,,,,,34.0,42.0,Australian,Indian,Australian,05,Dubai International Stadium,2014-04-19,38.923287671232885,26.46575342465753,24.232876712328768,1,False,True,False,False,False,False,0,False,,1.0,1.0,0.0,0.0
1,1,MI,RCB,1,1.2,Aditya Tare,Michael Hussey,Mitchell Starc,,,,,1,1,,True,,,,,72.0,16.0,Indian,Australian,Australian,05,Dubai International Stadium,2014-04-19,26.46575342465753,38.923287671232885,24.232876712328768,1,False,True,False,False,False,False,0,False,,2.0,2.0,0.0,0.0
2,2,MI,RCB,1,1.3,Michael Hussey,Aditya Tare,Mitchell Starc,,,,,2,2,,False,,,,,80.0,26.0,Australian,Indian,Australian,05,Dubai International Stadium,2014-04-19,38.923287671232885,26.46575342465753,24.232876712328768,1,False,False,True,False,False,False,0,False,,4.0,3.0,0.0,0.0
3,3,MI,RCB,1,1.4,Michael Hussey,Aditya Tare,Mitchell Starc,,,,,0,0,,False,10.691,-0.387,-0.731,1.4580000000000002,,,Australian,Indian,Australian,05,Dubai International Stadium,2014-04-19,38.923287671232885,26.46575342465753,24.232876712328768,1,True,False,False,False,False,False,0,False,,4.0,4.0,0.0,0.0
4,4,MI,RCB,1,1.5,Michael Hussey,Aditya Tare,Mitchell Starc,,,,,4,4,,False,3.114,-0.129,-0.195,0.374,93.0,34.0,Australian,Indian,Australian,05,Dubai International Stadium,2014-04-19,38.923287671232885,26.46575342465753,24.232876712328768,1,False,False,False,False,True,False,0,False,,8.0,5.0,0.0,0.0
5,5,MI,RCB,1,1.6,Michael Hussey,Aditya Tare,Mitchell Starc,,,,,0,0,,False,,,,,60.0,55.0,Australian,Indian,Australian,05,Dubai International Stadium,2014-04-19,38.923287671232885,26.46575342465753,24.232876712328768,1,True,False,False,False,False,False,0,False,,8.0,6.0,0.0,0.0
6,6,MI,RCB,1,2.1,Aditya Tare,Michael Hussey,Albie Morkel,,,,,0,0,,True,,,,,,,Indian,Australian,South African,05,Dubai International Stadium,2014-04-19,26.46575342465753,38.923287671232885,32.87945205479452,1,True,False,False,False,False,False,0,False,,8.0,7.0,0.0,0.0
7,7,MI,RCB,1,2.2,Aditya Tare,Michael Hussey,Albie Morkel,,,,,0,0,,True,,,,,44.0,25.0,Indian,Australian,South African,05,Dubai International Stadium,2014-04-19,26.46575342465753,38.923287671232885,32.87945205479452,1,True,False,False,False,False,False,0,False,,8.0,8.0,0.0,0.0
8,8,MI,RCB,1,2.3,Aditya Tare,Michael Hussey,Albie Morkel,,,,,1,1,,True,6.296,-0.305,-0.418,0.6629999999999999,38.0,55.0,Indian,Australian,South African,05,Dubai International Stadium,2014-04-19,26.46575342465753,38.923287671232885,32.87945205479452,1,False,True,False,False,False,False,0,False,,9.0,9.0,0.0,0.0
9,9,MI,RCB,1,2.4,Michael Hussey,Aditya Tare,Albie Morkel,,,,,0,0,,False,,,,,,,Australian,Indian,South African,05,Dubai International Stadium,2014-04-19,38.923287671232885,26.46575342465753,32.87945205479452,1,True,False,False,False,False,False,0,False,,9.0,10.0,0.0,0.0
